term,N,embedding,cluster,n_contexts,silhouette,best_k,silhouette_k,decoded_lemmas,examples
dope,50,masked,1,20,0.266086608171463,2,"{1: 0.0, 2: 0.266086608171463, 3: 0.20297004282474518, 4: 0.1259806752204895, 5: 0.11950451880693436}",,"['Dope flow but weak lyrics', 'This whole setup is surprisingly dope', 'This remix sounds dope in headphones', 'Dope colors mixed with minimal design', 'That timing was dope for real']"
dope,60,masked,0,23,0.2535448670387268,2,"{1: 0.0, 2: 0.2535448670387268, 3: 0.1935305893421173, 4: 0.11629975587129593, 5: 0.11453040689229965}",,"['Dope flow but weak lyrics', 'This whole setup is surprisingly dope', 'This remix sounds dope in headphones', 'Dope colors mixed with minimal design', 'That timing was dope for real']"
dope,60,masked,1,37,0.2535448670387268,2,"{1: 0.0, 2: 0.2535448670387268, 3: 0.1935305893421173, 4: 0.11629975587129593, 5: 0.11453040689229965}",,"['That detail makes it feel dope', 'The crowd made the moment dope', 'That beat is dope honestly', 'That visual looked dope on screen', 'Dope vibes carried the whole night']"
dope,70,masked,0,25,0.2442043572664261,2,"{1: 0.0, 2: 0.2442043572664261, 3: 0.1815834641456604, 4: 0.11603432893753052, 5: 0.10771865397691727}",,"['Dope flow but weak lyrics', 'This whole setup is surprisingly dope', 'This remix sounds dope in headphones', 'Dope colors mixed with minimal design', 'That timing was dope for real']"
dope,70,masked,1,45,0.2442043572664261,2,"{1: 0.0, 2: 0.2442043572664261, 3: 0.1815834641456604, 4: 0.11603432893753052, 5: 0.10771865397691727}",,"['That detail makes it feel dope', 'That visual looked dope on screen', 'That beat is dope honestly', 'The crowd made the moment dope', 'Dope vibes carried the whole night']"
dope,80,masked,0,25,0.24169126152992249,2,"{1: 0.0, 2: 0.24169126152992249, 3: 0.1686706840991974, 4: 0.11242827028036118, 5: 0.10585810989141464}",,"['Dope flow but weak lyrics', 'This whole setup is surprisingly dope', 'This remix sounds dope in headphones', 'Dope colors mixed with minimal design', 'That timing was dope for real']"
dope,80,masked,1,55,0.24169126152992249,2,"{1: 0.0, 2: 0.24169126152992249, 3: 0.1686706840991974, 4: 0.11242827028036118, 5: 0.10585810989141464}",,"['Dope flow carrying the whole track', 'That visual looked dope on screen', 'That beat is dope honestly', 'That detail makes it feel dope', 'This place feels dope at night']"
dope,90,masked,0,25,0.2397090345621109,2,"{1: 0.0, 2: 0.2397090345621109, 3: 0.15966908633708954, 4: 0.1706303358078003, 5: 0.10382583737373352}",,"['Dope flow but weak lyrics', 'This whole setup is surprisingly dope', 'This remix sounds dope in headphones', 'Dope colors mixed with minimal design', 'That timing was dope for real']"
dope,90,masked,1,65,0.2397090345621109,2,"{1: 0.0, 2: 0.2397090345621109, 3: 0.15966908633708954, 4: 0.1706303358078003, 5: 0.10382583737373352}",,"['Dope flow carrying the whole track', 'The vibe stayed dope all night', 'The DJ set was absolutely dope, everyone kept dancing nonstop', 'That new track sounds dope live, the crowd went wild instantly', 'This cut made the scene dope']"
dope,100,masked,0,74,0.23387610912322998,2,"{1: 0.0, 2: 0.23387610912322998, 3: 0.15844464302062988, 4: 0.17701613903045654, 5: 0.16944259405136108}",,"['Dope flow carrying the whole track', 'The vibe stayed dope all night', 'The DJ set was absolutely dope, everyone kept dancing nonstop', 'This cut made the scene dope', 'That new track sounds dope live, the crowd went wild instantly']"
dope,100,masked,1,26,0.23387610912322998,2,"{1: 0.0, 2: 0.23387610912322998, 3: 0.15844464302062988, 4: 0.17701613903045654, 5: 0.16944259405136108}",,"['Dope flow but weak lyrics', 'This whole setup is surprisingly dope', 'This remix sounds dope in headphones', 'Dope colors mixed with minimal design', 'That timing was dope for real']"
dope,110,masked,0,84,0.2330649346113205,2,"{1: 0.0, 2: 0.2330649346113205, 3: 0.15636302530765533, 4: 0.1760643869638443, 5: 0.16878704726696014}",,"['Dope flow carrying the whole track', 'The vibe stayed dope all night', 'The DJ set was absolutely dope, everyone kept dancing nonstop', 'Dope vibe in the venue, even before the headliner appeared on stage', 'That new track sounds dope live, the crowd went wild instantly']"
dope,110,masked,1,26,0.2330649346113205,2,"{1: 0.0, 2: 0.2330649346113205, 3: 0.15636302530765533, 4: 0.1760643869638443, 5: 0.16878704726696014}",,"['Dope flow but weak lyrics', 'This whole setup is surprisingly dope', 'This remix sounds dope in headphones', 'Dope colors mixed with minimal design', 'That timing was dope for real']"
dope,120,masked,0,28,0.23344169557094574,2,"{1: 0.0, 2: 0.23344169557094574, 3: 0.1592441350221634, 4: 0.18053556978702545, 5: 0.17314888536930084}",,"['Dope flow but weak lyrics', 'This whole setup is surprisingly dope', 'This remix sounds dope in headphones', 'Dope colors mixed with minimal design', 'That timing was dope for real']"
dope,120,masked,1,92,0.23344169557094574,2,"{1: 0.0, 2: 0.23344169557094574, 3: 0.1592441350221634, 4: 0.18053556978702545, 5: 0.17314888536930084}",,"['Dope flow carrying the whole track', 'The DJ set was absolutely dope, everyone kept dancing nonstop', 'The vibe stayed dope all night', 'Dope vibe in the venue, even before the headliner appeared on stage', 'That new track sounds dope live, the crowd went wild instantly']"
dope,130,masked,0,29,0.2350858747959137,2,"{1: 0.0, 2: 0.2350858747959137, 3: 0.20188170671463013, 4: 0.18464471399784088, 5: 0.17843210697174072}",,"['This whole setup is surprisingly dope', 'Dope flow but weak lyrics', 'Dope choice for an opening track', 'Dope colors mixed with minimal design', 'This remix sounds dope in headphones']"
dope,130,masked,1,101,0.2350858747959137,2,"{1: 0.0, 2: 0.2350858747959137, 3: 0.20188170671463013, 4: 0.18464471399784088, 5: 0.17843210697174072}",,"['Dope flow carrying the whole track', 'The DJ set was absolutely dope, everyone kept dancing nonstop', 'Dope atmosphere, perfect balance of excitement and chill vibes in the venue', 'The vibe stayed dope all night', 'That new track sounds dope live, the crowd went wild instantly']"
dope,140,masked,0,111,0.23589298129081726,2,"{1: 0.0, 2: 0.23589298129081726, 3: 0.19888681173324585, 4: 0.18180012702941895, 5: 0.17658516764640808}",,"['Dope flow carrying the whole track', 'Dope crowd engagement, everyone participating and feeling the energy together', 'The DJ set was absolutely dope, everyone kept dancing nonstop', 'The vibe stayed dope all night', 'Dope atmosphere, perfect balance of excitement and chill vibes in the venue']"
dope,140,masked,1,29,0.23589298129081726,2,"{1: 0.0, 2: 0.23589298129081726, 3: 0.19888681173324585, 4: 0.18180012702941895, 5: 0.17658516764640808}",,"['This whole setup is surprisingly dope', 'Dope flow but weak lyrics', 'Dope choice for an opening track', 'Dope colors mixed with minimal design', 'This remix sounds dope in headphones']"
dope,150,masked,0,121,0.23478993773460388,2,"{1: 0.0, 2: 0.23478993773460388, 3: 0.20203647017478943, 4: 0.18294475972652435, 5: 0.17515744268894196}",,"['Dope flow carrying the whole track', 'Dope crowd engagement, everyone participating and feeling the energy together', 'Dope how the energy built gradually and peaked at the perfect moment', 'The DJ set was absolutely dope, everyone kept dancing nonstop', 'Dope atmosphere, perfect balance of excitement and chill vibes in the venue']"
dope,150,masked,1,29,0.23478993773460388,2,"{1: 0.0, 2: 0.23478993773460388, 3: 0.20203647017478943, 4: 0.18294475972652435, 5: 0.17515744268894196}",,"['This whole setup is surprisingly dope', 'Dope flow but weak lyrics', 'Dope choice for an opening track', 'Dope colors mixed with minimal design', 'This remix sounds dope in headphones']"
crazy,5,masked,0,5,0.0,1,"{1: 0.0, 2: 0.07812962681055069, 3: 0.049568139016628265, 4: 0.04144172742962837}",,"['Crazy vibes filled the room after the DJ played the remix', 'The performance got crazy wild, nobody expected such energy tonight', 'That drop felt so crazy, everyone lost control of their feet', 'The crowd went absolutely crazy when the lights dimmed slowly', 'Crazy how the sunset turned the whole skyline into magic']"
crazy,10,masked,0,3,0.2150164097547531,4,"{1: 0.0, 2: 0.19733163714408875, 3: 0.19825804233551025, 4: 0.2150164097547531, 5: 0.20145630836486816}",,"['The crowd went absolutely crazy when the lights dimmed slowly', 'That drop felt so crazy, everyone lost control of their feet', 'Crazy how the sunset turned the whole skyline into magic']"
crazy,10,masked,1,2,0.2150164097547531,4,"{1: 0.0, 2: 0.19733163714408875, 3: 0.19825804233551025, 4: 0.2150164097547531, 5: 0.20145630836486816}",,"['That drop felt so crazy, everyone lost control of their feet', 'The crowd went absolutely crazy when the lights dimmed slowly']"
crazy,10,masked,2,1,0.2150164097547531,4,"{1: 0.0, 2: 0.19733163714408875, 3: 0.19825804233551025, 4: 0.2150164097547531, 5: 0.20145630836486816}",,['The crowd went absolutely crazy when the lights dimmed slowly']
crazy,10,masked,3,4,0.2150164097547531,4,"{1: 0.0, 2: 0.19733163714408875, 3: 0.19825804233551025, 4: 0.2150164097547531, 5: 0.20145630836486816}",,"['That drop felt so crazy, everyone lost control of their feet', 'The performance got crazy wild, nobody expected such energy tonight', 'Crazy how the sunset turned the whole skyline into magic', 'The crowd went absolutely crazy when the lights dimmed slowly']"
crazy,20,masked,0,7,0.27041763067245483,4,"{1: 0.0, 2: 0.2397562563419342, 3: 0.2399628609418869, 4: 0.27041763067245483, 5: 0.2654813230037689}",,"['Crazy how one idea completely changed the mood of the party', 'That drop felt so crazy, everyone lost control of their feet', 'The crowd went absolutely crazy when the lights dimmed slowly', 'It was a crazy moment when everyone sang the lyrics together', 'The performance got crazy wild, nobody expected such energy tonight']"
crazy,20,masked,1,5,0.27041763067245483,4,"{1: 0.0, 2: 0.2397562563419342, 3: 0.2399628609418869, 4: 0.27041763067245483, 5: 0.2654813230037689}",,"['The performance got crazy wild, nobody expected such energy tonight', 'The crowd went absolutely crazy when the lights dimmed slowly', 'Crazy how the sunset turned the whole skyline into magic', 'That drop felt so crazy, everyone lost control of their feet', 'Crazy vibes filled the room after the DJ played the remix']"
crazy,20,masked,2,2,0.27041763067245483,4,"{1: 0.0, 2: 0.2397562563419342, 3: 0.2399628609418869, 4: 0.27041763067245483, 5: 0.2654813230037689}",,"['The crowd went absolutely crazy when the lights dimmed slowly', 'That drop felt so crazy, everyone lost control of their feet']"
crazy,20,masked,3,6,0.27041763067245483,4,"{1: 0.0, 2: 0.2397562563419342, 3: 0.2399628609418869, 4: 0.27041763067245483, 5: 0.2654813230037689}",,"['That drop felt so crazy, everyone lost control of their feet', 'Crazy vibes filled the room after the DJ played the remix', 'The performance got crazy wild, nobody expected such energy tonight', 'It was a crazy moment when everyone sang the lyrics together', 'Crazy how the sunset turned the whole skyline into magic']"
crazy,30,masked,0,11,0.2604239284992218,4,"{1: 0.0, 2: 0.2462247759103775, 3: 0.24913142621517181, 4: 0.2604239284992218, 5: 0.25593888759613037}",,"['The crowd went absolutely crazy when the lights dimmed slowly', 'Crazy how one idea completely changed the mood of the party', 'The festival became crazy intense as the headliner hit the stage', 'That drop felt so crazy, everyone lost control of their feet', 'The performance got crazy wild, nobody expected such energy tonight']"
crazy,30,masked,1,7,0.2604239284992218,4,"{1: 0.0, 2: 0.2462247759103775, 3: 0.24913142621517181, 4: 0.2604239284992218, 5: 0.25593888759613037}",,"['Crazy how the sunset turned the whole skyline into magic', 'The performance got crazy wild, nobody expected such energy tonight', 'The crowd went absolutely crazy when the lights dimmed slowly', 'It was a crazy moment when everyone sang the lyrics together', 'Crazy how one idea completely changed the mood of the party']"
crazy,30,masked,2,10,0.2604239284992218,4,"{1: 0.0, 2: 0.2462247759103775, 3: 0.24913142621517181, 4: 0.2604239284992218, 5: 0.25593888759613037}",,"['That drop felt so crazy, everyone lost control of their feet', 'The festival became crazy intense as the headliner hit the stage', 'Crazy vibes filled the room after the DJ played the remix', 'The performance got crazy wild, nobody expected such energy tonight', 'It was a crazy moment when everyone sang the lyrics together']"
crazy,30,masked,3,2,0.2604239284992218,4,"{1: 0.0, 2: 0.2462247759103775, 3: 0.24913142621517181, 4: 0.2604239284992218, 5: 0.25593888759613037}",,"['The crowd went absolutely crazy when the lights dimmed slowly', 'That drop felt so crazy, everyone lost control of their feet']"
crazy,40,masked,0,10,0.2702774703502655,4,"{1: 0.0, 2: 0.23976781964302063, 3: 0.2521146237850189, 4: 0.2702774703502655, 5: 0.26165080070495605}",,"['The crowd went absolutely crazy when the lights dimmed slowly', 'The performance got crazy wild, nobody expected such energy tonight', 'Crazy how the sunset turned the whole skyline into magic', 'It was a crazy moment when everyone sang the lyrics together', 'Crazy how one idea completely changed the mood of the party']"
crazy,40,masked,1,13,0.2702774703502655,4,"{1: 0.0, 2: 0.23976781964302063, 3: 0.2521146237850189, 4: 0.2702774703502655, 5: 0.26165080070495605}",,"['That drop felt so crazy, everyone lost control of their feet', 'The festival became crazy intense as the headliner hit the stage', 'It was a crazy moment when everyone sang the lyrics together', 'Crazy vibes filled the room after the DJ played the remix', 'The performance got crazy wild, nobody expected such energy tonight']"
crazy,40,masked,2,14,0.2702774703502655,4,"{1: 0.0, 2: 0.23976781964302063, 3: 0.2521146237850189, 4: 0.2702774703502655, 5: 0.26165080070495605}",,"['The crowd went absolutely crazy when the lights dimmed slowly', 'Crazy vibes took over the audience, everyone started moving nonstop', 'Crazy how one idea completely changed the mood of the party', 'That drop felt so crazy, everyone lost control of their feet', 'The festival became crazy intense as the headliner hit the stage']"
crazy,40,masked,3,3,0.2702774703502655,4,"{1: 0.0, 2: 0.23976781964302063, 3: 0.2521146237850189, 4: 0.2702774703502655, 5: 0.26165080070495605}",,"['Crazy how the sunset turned the whole skyline into magic', 'The crowd went absolutely crazy when the lights dimmed slowly', 'That drop felt so crazy, everyone lost control of their feet']"
crazy,50,masked,0,13,0.27501553297042847,4,"{1: 0.0, 2: 0.25322026014328003, 3: 0.26045912504196167, 4: 0.27501553297042847, 5: 0.23168855905532837}",,"['The crowd went absolutely crazy when the lights dimmed slowly', 'The performance got crazy wild, nobody expected such energy tonight', 'The dance floor turned crazy after the unexpected remix dropped', 'Crazy how the sunset turned the whole skyline into magic', 'Crazy how the combination of lights and sound created pure magic']"
crazy,50,masked,1,16,0.27501553297042847,4,"{1: 0.0, 2: 0.25322026014328003, 3: 0.26045912504196167, 4: 0.27501553297042847, 5: 0.23168855905532837}",,"['That drop felt so crazy, everyone lost control of their feet', 'The mix of beats and vocals was crazy hypnotic and powerful', 'The festival became crazy intense as the headliner hit the stage', 'Crazy how the quietest room transformed into a total party zone', 'It was a crazy moment when everyone sang the lyrics together']"
crazy,50,masked,2,3,0.27501553297042847,4,"{1: 0.0, 2: 0.25322026014328003, 3: 0.26045912504196167, 4: 0.27501553297042847, 5: 0.23168855905532837}",,"['Crazy how the sunset turned the whole skyline into magic', 'The crowd went absolutely crazy when the lights dimmed slowly', 'That drop felt so crazy, everyone lost control of their feet']"
crazy,50,masked,3,18,0.27501553297042847,4,"{1: 0.0, 2: 0.25322026014328003, 3: 0.26045912504196167, 4: 0.27501553297042847, 5: 0.23168855905532837}",,"['Crazy vibes took over the audience, everyone started moving nonstop', 'Crazy how the quietest room transformed into a total party zone', 'The crowd went absolutely crazy when the lights dimmed slowly', 'Crazy visuals kept changing, making the experience feel surreal and alive', 'Crazy how one idea completely changed the mood of the party']"
crazy,60,masked,0,17,0.27931565046310425,4,"{1: 0.0, 2: 0.2558329403400421, 3: 0.270878404378891, 4: 0.27931565046310425, 5: 0.272089421749115}",,"['The mix of beats and vocals was crazy hypnotic and powerful', 'The crowd went absolutely crazy when the lights dimmed slowly', 'The dance floor turned crazy after the unexpected remix dropped', 'The performance got crazy wild, nobody expected such energy tonight', 'Crazy how the sunset turned the whole skyline into magic']"
crazy,60,masked,1,23,0.27931565046310425,4,"{1: 0.0, 2: 0.2558329403400421, 3: 0.270878404378891, 4: 0.27931565046310425, 5: 0.272089421749115}",,"['Crazy beats mixed with vocals created an unforgettable emotional rollercoaster', 'The energy during that song was crazy contagious, spreading instantly', 'That ending felt crazy unexpected, leaving everyone cheering loudly', 'The moment got crazy wild as everyone jumped to the chorus', 'The set got crazy intense when the lights started flashing rapidly']"
crazy,60,masked,2,4,0.27931565046310425,4,"{1: 0.0, 2: 0.2558329403400421, 3: 0.270878404378891, 4: 0.27931565046310425, 5: 0.272089421749115}",,"['Crazy how the sunset turned the whole skyline into magic', 'The crowd went absolutely crazy when the lights dimmed slowly', 'The performance got crazy wild, nobody expected such energy tonight', 'That drop felt so crazy, everyone lost control of their feet']"
crazy,60,masked,3,16,0.27931565046310425,4,"{1: 0.0, 2: 0.2558329403400421, 3: 0.270878404378891, 4: 0.27931565046310425, 5: 0.272089421749115}",,"['The festival became crazy intense as the headliner hit the stage', 'That drop felt so crazy, everyone lost control of their feet', 'That ending felt crazy unexpected, leaving everyone cheering loudly', 'Crazy how the quietest room transformed into a total party zone', 'The mix of beats and vocals was crazy hypnotic and powerful']"
crazy,70,masked,0,20,0.28718289732933044,4,"{1: 0.0, 2: 0.2645610570907593, 3: 0.2753262519836426, 4: 0.28718289732933044, 5: 0.24591614305973053}",,"['The mix of beats and vocals was crazy hypnotic and powerful', 'The set got crazy intense when the lights started flashing rapidly', 'The crowd went absolutely crazy when the lights dimmed slowly', 'The dance floor turned crazy after the unexpected remix dropped', 'Crazy how the sunset turned the whole skyline into magic']"
crazy,70,masked,1,27,0.28718289732933044,4,"{1: 0.0, 2: 0.2645610570907593, 3: 0.2753262519836426, 4: 0.28718289732933044, 5: 0.24591614305973053}",,"['Crazy beats mixed with vocals created an unforgettable emotional rollercoaster', 'The festival stage looked crazy huge with lights and smoke effects', 'The energy during that song was crazy contagious, spreading instantly', 'That ending felt crazy unexpected, leaving everyone cheering loudly', 'The crowd went absolutely crazy when the lights dimmed slowly']"
crazy,70,masked,2,19,0.28718289732933044,4,"{1: 0.0, 2: 0.2645610570907593, 3: 0.2753262519836426, 4: 0.28718289732933044, 5: 0.24591614305973053}",,"['The festival became crazy intense as the headliner hit the stage', 'That drop felt so crazy, everyone lost control of their feet', 'The set got crazy intense when the lights started flashing rapidly', 'That ending felt crazy unexpected, leaving everyone cheering loudly', 'Crazy how the quietest room transformed into a total party zone']"
crazy,70,masked,3,4,0.28718289732933044,4,"{1: 0.0, 2: 0.2645610570907593, 3: 0.2753262519836426, 4: 0.28718289732933044, 5: 0.24591614305973053}",,"['Crazy how the sunset turned the whole skyline into magic', 'The crowd went absolutely crazy when the lights dimmed slowly', 'The performance got crazy wild, nobody expected such energy tonight', 'That drop felt so crazy, everyone lost control of their feet']"
crazy,80,masked,0,23,0.29526054859161377,4,"{1: 0.0, 2: 0.27556052803993225, 3: 0.2856472134590149, 4: 0.29526054859161377, 5: 0.24524009227752686}",,"['The mix of beats and vocals was crazy hypnotic and powerful', 'The set got crazy intense when the lights started flashing rapidly', 'Crazy energy rushed through the venue when the crowd screamed together', 'The crowd went absolutely crazy when the lights dimmed slowly', 'The moment got crazy wild as everyone jumped to the chorus']"
crazy,80,masked,1,32,0.29526054859161377,4,"{1: 0.0, 2: 0.27556052803993225, 3: 0.2856472134590149, 4: 0.29526054859161377, 5: 0.24524009227752686}",,"['Crazy how quickly the mood shifted when the beat changed suddenly', 'Crazy beats mixed with vocals created an unforgettable emotional rollercoaster', 'The festival stage looked crazy huge with lights and smoke effects', 'The moment got crazy wild as everyone jumped to the chorus', 'The energy during that song was crazy contagious, spreading instantly']"
crazy,80,masked,2,21,0.29526054859161377,4,"{1: 0.0, 2: 0.27556052803993225, 3: 0.2856472134590149, 4: 0.29526054859161377, 5: 0.24524009227752686}",,"['Crazy beats mixed with vocals created an unforgettable emotional rollercoaster', 'Crazy how the audience reacted as if the music hit their soul', 'The festival became crazy intense as the headliner hit the stage', 'That drop felt so crazy, everyone lost control of their feet', 'That ending felt crazy unexpected, leaving everyone cheering loudly']"
crazy,80,masked,3,4,0.29526054859161377,4,"{1: 0.0, 2: 0.27556052803993225, 3: 0.2856472134590149, 4: 0.29526054859161377, 5: 0.24524009227752686}",,"['Crazy how the sunset turned the whole skyline into magic', 'The crowd went absolutely crazy when the lights dimmed slowly', 'The performance got crazy wild, nobody expected such energy tonight', 'That drop felt so crazy, everyone lost control of their feet']"
crazy,90,masked,0,4,0.29344141483306885,4,"{1: 0.0, 2: 0.27431344985961914, 3: 0.28543418645858765, 4: 0.29344141483306885, 5: 0.24654994904994965}",,"['Crazy how the sunset turned the whole skyline into magic', 'The crowd went absolutely crazy when the lights dimmed slowly', 'The performance got crazy wild, nobody expected such energy tonight', 'That drop felt so crazy, everyone lost control of their feet']"
crazy,90,masked,1,25,0.29344141483306885,4,"{1: 0.0, 2: 0.27431344985961914, 3: 0.28543418645858765, 4: 0.29344141483306885, 5: 0.24654994904994965}",,"['The mix of beats and vocals was crazy hypnotic and powerful', 'The set got crazy intense when the lights started flashing rapidly', 'That scene looked crazy insane under the neon lights at night', 'Crazy energy rushed through the venue when the crowd screamed together', 'The crowd went absolutely crazy when the lights dimmed slowly']"
crazy,90,masked,2,35,0.29344141483306885,4,"{1: 0.0, 2: 0.27431344985961914, 3: 0.28543418645858765, 4: 0.29344141483306885, 5: 0.24654994904994965}",,"['The energy was crazy high, making it impossible not to move', 'Crazy beats mixed with vocals created an unforgettable emotional rollercoaster', 'Crazy how the audience reacted as if the music hit their soul', 'Crazy how one song could completely electrify the entire audience', 'Crazy how the quietest room transformed into a total party zone']"
crazy,90,masked,3,26,0.29344141483306885,4,"{1: 0.0, 2: 0.27431344985961914, 3: 0.28543418645858765, 4: 0.29344141483306885, 5: 0.24654994904994965}",,"['The festival stage looked crazy huge with lights and smoke effects', 'The moment got crazy wild as everyone jumped to the chorus', 'The festival became crazy intense as the headliner hit the stage', 'Crazy energy rushed through the venue when the crowd screamed together', 'Crazy how the audience reacted as if the music hit their soul']"
crazy,100,masked,0,4,0.28769516944885254,4,"{1: 0.0, 2: 0.2786332368850708, 3: 0.28338539600372314, 4: 0.28769516944885254, 5: 0.2701224386692047}",,"['Crazy how the sunset turned the whole skyline into magic', 'The crowd went absolutely crazy when the lights dimmed slowly', 'The performance got crazy wild, nobody expected such energy tonight', 'That drop felt so crazy, everyone lost control of their feet']"
crazy,100,masked,1,29,0.28769516944885254,4,"{1: 0.0, 2: 0.2786332368850708, 3: 0.28338539600372314, 4: 0.28769516944885254, 5: 0.2701224386692047}",,"['The mix of beats and vocals was crazy hypnotic and powerful', 'The set got crazy intense when the lights started flashing rapidly', 'That scene looked crazy insane under the neon lights at night', 'Crazy energy rushed through the venue when the crowd screamed together', 'The crowd went absolutely crazy when the lights dimmed slowly']"
crazy,100,masked,2,43,0.28769516944885254,4,"{1: 0.0, 2: 0.2786332368850708, 3: 0.28338539600372314, 4: 0.28769516944885254, 5: 0.2701224386692047}",,"['The lights changed in a crazy fast pattern during the finale', 'That performance looked crazy flawless, every move synchronized perfectly', 'Crazy energy rushed through the venue when the crowd screamed together', 'The moment got crazy wild as everyone jumped to the chorus', 'Crazy visuals kept changing, making the experience feel surreal and alive']"
crazy,100,masked,3,24,0.28769516944885254,4,"{1: 0.0, 2: 0.2786332368850708, 3: 0.28338539600372314, 4: 0.28769516944885254, 5: 0.2701224386692047}",,"['Crazy energy rushed through the venue when the crowd screamed together', 'The festival became crazy intense as the headliner hit the stage', 'Crazy how the audience reacted as if the music hit their soul', 'Crazy beats mixed with vocals created an unforgettable emotional rollercoaster', 'Crazy visuals kept changing, making the experience feel surreal and alive']"
crazy,110,masked,0,14,0.27564898133277893,5,"{1: 0.0, 2: 0.2622273564338684, 3: 0.2676539719104767, 4: 0.27386796474456787, 5: 0.27564898133277893}",,"['Crazy how one idea completely changed the mood of the party', 'Crazy energy flowed through the crowd, keeping everyone on their toes', 'The festival became crazy intense as the headliner hit the stage', 'Crazy how the sunset turned the whole skyline into magic', 'Crazy vibes filled the room after the DJ played the remix']"
crazy,110,masked,1,31,0.27564898133277893,5,"{1: 0.0, 2: 0.2622273564338684, 3: 0.2676539719104767, 4: 0.27386796474456787, 5: 0.27564898133277893}",,"['The mix of beats and vocals was crazy hypnotic and powerful', 'The set got crazy intense when the lights started flashing rapidly', 'That scene looked crazy insane under the neon lights at night', 'The crowd went absolutely crazy when the lights dimmed slowly', 'Crazy energy rushed through the venue when the crowd screamed together']"
crazy,110,masked,2,38,0.27564898133277893,5,"{1: 0.0, 2: 0.2622273564338684, 3: 0.2676539719104767, 4: 0.27386796474456787, 5: 0.27564898133277893}",,"['Crazy sound design made the experience unforgettable for everyone present', 'Crazy moments happened when the unexpected drop hit at midnight', 'Crazy beats mixed with vocals created an unforgettable emotional rollercoaster', 'Crazy how the audience reacted as if the music hit their soul', 'Crazy how the quietest room transformed into a total party zone']"
crazy,110,masked,3,23,0.27564898133277893,5,"{1: 0.0, 2: 0.2622273564338684, 3: 0.2676539719104767, 4: 0.27386796474456787, 5: 0.27564898133277893}",,"['It was a crazy moment when everyone sang the lyrics together', 'The set got crazy intense when the lights started flashing rapidly', 'That ending felt crazy unexpected, leaving everyone cheering loudly', 'The energy during that song was crazy contagious, spreading instantly', 'The visuals went crazy amazing, making the show feel unforgettable']"
